id,name
1,Gujarat Titans
2,Rajasthan Royals
3,Lucknow Super Giants
4,Royal Challengers Bangalore
5,Delhi Capitals
6,Punjab Kings
7,Kolkata Knight Riders
8,Sunrisers Hyderabad
9,Chennai Super Kings
10,Mumbai Indians
