id,Name,Team,Role
182,Gurnoor Brar,6,Bowl
183,Harshit Rana,7,Bowl
184,Priyam Garg,5,Bat
185,Akeal Hosein,8,Bowl
186,Krishnappa Gowtham,3,All
187,Josh Hazlewood,4,Bowl
188,Manan Vohra,3,Bat
189,Karan Sharma,3,Bat
190,Mohsin Khan,3,Bowl
191,Akash Madhwal,10,Bowl
192,Kartik Tyagi,8,Bowl
193,Raghav Goyal,10,All
194,Kedar Jadhav,4,Bat
195,Quinton de Kock,3,Bat & Wk
196,Swapnil Singh,3,All
197,Obed McCoy,2,Bowl
198,Joe Root,2,Bat
199,Murugan Ashwin,2,Bowl
200,Vivrant Sharma,8,All
201,Chris Jordan,10,Bowl
202,Vishnu Vinod,10,Bat & Wk
203,Praveen Dubey,5,Bowl
204,Dasun Shanaka,1,All
205,Sanvir Singh,8,All
206,Nitish Kumar Reddy,8,All
207,Navdeep Saini,2,Bowl
208,Himanshu Sharma,4,Bowl
209,Darshan Nalkande,1,Bowl
