Match Number,Team id,Bowler id,Overs,Maidens,Runs,Wickets,Economy,Extras
66,2,85,4,0,35,1,8.75,1
66,2,125,4,0,46,0,11.50,3
66,2,207,4,0,40,3,10.00,1
66,2,161,4,0,26,1,6.50,0
66,2,88,4,0,40,0,10.00,1
66,6,26,4,0,46,1,11.50,2
66,6,151,4,0,40,2,10.00,2
66,6,33,4,0,40,1,10.00,3
66,6,27,4,0,34,1,8.50,1
66,6,32,3.4,0,28,1,7.64,0
67,5,64,4,0,45,1,11.25,3
67,5,126,2,0,32,0,16.00,2
67,5,62,3,0,32,0,10.67,0
67,5,114,4,0,43,1,10.75,0
67,5,65,4,0,36,1,9.00,4
67,5,63,3,0,34,0,11.33,0
67,9,20,4,0,22,3,5.50,0
67,9,133,4,0,26,1,6.50,1
67,9,148,4,1,23,2,5.75,0
67,9,17,4,0,50,1,12.50,1
67,9,164,4,0,22,2,5.50,5
68,7,183,3,0,21,1,7.00,0
68,7,180,4,0,30,2,7.50,4
68,7,43,4,0,38,1,9.50,0
68,7,36,1,0,3,0,3.00,0
68,7,42,2,0,27,2,13.50,2
68,7,39,4,0,28,2,7.00,1
68,7,117,1,0,12,0,12.00,0
68,7,38,1,0,12,0,12.00,0
68,3,190,1,0,15,0,15.00,0
68,3,165,4,0,46,0,11.50,0
68,3,50,4,0,30,1,7.50,0
68,3,186,4,0,26,1,6.50,2
68,3,54,4,0,23,2,5.75,0
68,3,111,3,0,31,2,10.33,3
69,10,129,3,0,36,0,12.00,3
69,10,106,1,0,2,0,2.00,0
69,10,201,4,0,42,1,10.50,1
69,10,191,4,0,37,4,9.25,1
69,10,109,4,0,39,0,9.75,0
69,10,179,4,0,39,0,9.75,1
69,8,76,4,0,26,1,6.50,0
69,8,206,3,0,35,0,11.67,0
69,8,172,4,0,37,1,9.25,0
69,8,192,2.5,0,41,0,14.47,3
69,8,77,3,0,41,0,13.67,0
69,8,200,1,0,19,0,19.00,2
69,8,121,0.1,0,1,0,6.00,0
70,1,10,4,0,39,1,9.75,1
70,1,11,4,0,39,1,9.75,0
70,1,7,4,0,24,1,6.00,0
70,1,175,4,0,39,2,9.75,2
70,1,153,4,0,54,0,13.50,2
70,4,96,4,0,32,2,8.00,2
70,4,144,3.1,0,42,0,13.26,2
70,4,163,4,0,40,1,10.00,2
70,4,208,3,0,28,0,9.33,0
70,4,95,4,0,29,1,7.25,2
70,4,93,1,0,16,0,16.00,0
71,1,10,4,0,28,2,7.00,1
71,1,209,4,0,44,1,11.00,1
71,1,7,4,0,37,1,9.25,0
71,1,175,4,0,29,1,7.25,0
71,1,153,4,0,31,2,7.75,0
71,9,20,4,0,29,2,7.25,3
71,9,133,4,0,43,1,10.75,2
71,9,148,4,0,28,2,7.00,0
71,9,17,4,0,18,2,4.50,0
71,9,164,4,0,37,2,9.25,7
72,3,50,4,0,38,0,9.50,0
72,3,186,1,0,8,0,8.00,0
72,3,165,4,0,38,4,9.50,3
72,3,111,4,0,34,3,8.50,2
72,3,190,3,0,24,1,8.00,0
72,3,54,4,0,30,0,7.50,1
72,10,129,3,0,21,0,7.00,0
72,10,191,3.3,0,5,5,1.43,0
72,10,201,2,1,7,1,3.50,0
72,10,106,3,0,15,0,5.00,0
72,10,107,1,0,18,0,18.00,1
72,10,109,4,0,28,1,7.00,2
73,10,129,4,0,28,0,7.00,0
73,10,106,3,0,35,0,11.67,0
73,10,191,4,0,52,1,13.00,2
73,10,201,4,0,56,0,14.00,4
73,10,109,3,0,45,1,15.00,1
73,10,179,2,0,15,0,7.50,0
73,1,10,3,0,41,2,13.67,0
73,1,4,2,0,24,0,12.00,1
73,1,7,4,0,33,2,8.25,1
73,1,175,4,0,35,0,8.75,2
73,1,9,3,0,26,1,8.67,1
73,1,153,2.2,0,10,5,4.29,0
74,9,20,4,0,38,1,9.50,0
74,9,133,4,0,56,0,14.00,0
74,9,148,4,0,36,0,9.00,0
74,9,17,4,0,38,1,9.50,0
74,9,164,4,0,44,2,11.00,2
74,1,10,3,0,29,0,9.67,0
74,1,4,1,0,14,0,14.00,1
74,1,7,3,0,44,0,14.67,0
74,1,175,3,0,17,2,5.67,3
74,1,9,2,0,30,0,15.00,0
74,1,153,3,0,36,3,12.00,0
