Match Number,Team id,Batter id,Runs,Balls,Fours,Sixes,Strike Rate,Out/Not
74,1,1,54,39,5,1,138.46,c MS Dhoni b DL Chahar
74,1,2,39,20,7,0,195.00,st MS Dhoni b RA Jadeja
74,1,115,96,47,8,6,204.26,lbw b Matheesha Pathirana
74,1,4,21,12,0,2,175.00,Not out
74,1,7,0,2,0,0,0.00,c RD Gaikwad b Matheesha Pathirana
74,9,13,26,16,3,1,162.50,c Rashid Khan b Noor Ahmad
74,9,21,47,25,4,2,188.00,c MM Sharma b Noor Ahmad
74,9,18,32,21,0,2,152.38,Not out
74,9,130,27,13,2,2,207.69,c Vijay Shankar b MM Sharma
74,9,16,19,8,1,2,237.50,c & b MM Sharma
74,9,12,0,1,0,0,0.00,c David Miller b MM Sharma
74,9,17,15,6,1,1,250.00,Not out
